Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Warnings,Region,Date Scanned
-27.55705,153.077,"12, Hagen Street, Upper Mount Gravatt, City of Brisbane, Queensland, 4122, Australia","Item 132, Item 136","Major shopping centre 'Westfield Garden City' (GLA 97,000 sqm, est. 300 tenants) with no pharmacy within 200 m. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment. | Medical centre 'Upper Mount Gravatt Medical Centre' — 9 GPs (7.2 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 325 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.33,TerryWhite Chemmart Upper Mount Gravatt,Upper Mount Gravatt Medical Centre,medical_centre,,QLD,2026-02-14T21:39:46.463201
-27.5603,151.9562,"Bell Street, East Toowoomba, Toowoomba City, Toowoomba, Toowoomba Regional, Queensland, 4350, Australia",Item 136,"Medical centre 'SmartClinics Toowoomba' — 14 GPs (11.2 est. FTE), open 84hrs/wk (meets 70hr requirement) — nearest pharmacy 375 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.38,Good Price Pharmacy Warehouse Toowoomba,SmartClinics Toowoomba,medical_centre,,QLD,2026-02-14T21:39:46.464201
-27.9665,153.3982,"Ewan Street, Southport, Gold Coast City, Queensland, 4215, Australia",Item 136,"Medical centre 'SmartClinics Southport' — 12 GPs (9.6 est. FTE), open 84hrs/wk (meets 70hr requirement) — nearest pharmacy 1.00 km [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,1.00,Southport Pharmacy,SmartClinics Southport,medical_centre,,QLD,2026-02-14T21:39:46.465201
-27.9671,153.401,"West King Lane, Southport, Gold Coast City, Queensland, 4215, Australia",Item 136,"Medical centre 'Gold Coast Medical Centre' — 12 GPs (9.6 est. FTE), open 84hrs/wk (meets 70hr requirement) — nearest pharmacy 829 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.83,Southport Chempro Chemist,Gold Coast Medical Centre,medical_centre,,QLD,2026-02-14T21:39:46.466201
-26.7984,153.1296,"Arthur Street, Caloundra, Sunshine Coast Regional, Queensland, 4551, Australia",Item 136,"Medical centre 'Sunshine Coast Medical Centre' — 10 GPs (8.0 est. FTE), open 72hrs/wk (meets 70hr requirement) — nearest pharmacy 641 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.64,Star Discount Chemist Caloundra,Sunshine Coast Medical Centre,medical_centre,,QLD,2026-02-14T21:39:46.467202
-27.6636,153.05,"Enterprise Way, Browns Plains, Brisbane, Queensland, 4118, Australia",Item 136,"Medical centre 'Browns Plains Family Practice' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 540 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.54,Chemist Discount Centre Browns Plains,Browns Plains Family Practice,medical_centre,,QLD,2026-02-14T21:39:46.469201
-27.2308,153.1008,"George Street, Brisbane, City of Moreton Bay, Queensland, 4020, Australia",Item 136,"Medical centre 'GP Super Clinic Redcliffe' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 1.31 km [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,1.31,Redcliffe Dolphins Discount Drug Store,GP Super Clinic Redcliffe,medical_centre,,QLD,2026-02-14T21:39:46.470201
-27.449,153.1647,"18, Chandos Street, Wynnum West, Wynnum, Brisbane, Queensland, 4178, Australia",Item 136,"Medical centre 'GP Super Clinic Wynnum' — 8 GPs (6.4 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 688 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.69,Manly Chempro Chemist,GP Super Clinic Wynnum,medical_centre,,QLD,2026-02-14T21:39:46.471201
-27.6701,152.9041,"Temporary carpark, Springfield Greenbank Arterial, Springfield Central, Ipswich City, Queensland, 4300, Australia",Item 136,"Medical centre 'Springfield Medical Centre' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 807 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.81,Priceline Pharmacy,Springfield Medical Centre,medical_centre,,QLD,2026-02-14T21:39:46.472201
-27.229,153.0015,"Bruce Highway, Dakabin, Brisbane, City of Moreton Bay, Queensland, 4503, Australia",Item 136,"Medical centre 'North Lakes Medical Centre' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 828 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.83,United Chemists North Lakes,North Lakes Medical Centre,medical_centre,,QLD,2026-02-14T21:39:46.473256
-27.6188,153.0461,"4, Lange Court, Calamvale, Brisbane, Queensland, 4116, Australia",Item 136,"Medical centre 'Calamvale Medical Centre' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 692 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.69,Unknown Pharmacy,Calamvale Medical Centre,medical_centre,,QLD,2026-02-14T21:39:46.474777
-23.8499,151.2665,"Young Street, Gladstone Ports - Port Central, Barney Point, Gladstone, Gladstone Regional, Queensland, 4680, Australia",Item 136,"Medical centre 'Gladstone Medical Centre' — 8 GPs (6.4 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 459 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.46,Gladstone Family Chemist,Gladstone Medical Centre,medical_centre,,QLD,2026-02-14T21:39:46.475777
-23.5272,148.1565,"Sullivan Street, Emerald, Central Highlands Regional, Queensland, 4720, Australia",Item 136,"Medical centre 'Emerald Medical Centre' — 8 GPs (4.8 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 683 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.68,Direct Chemist Outlet Central Highlands,Emerald Medical Centre,medical_centre,,QLD,2026-02-14T21:39:46.476776
-22.9109285,139.9104724,"5-Star Supermarket, Herbert Street, Boulia, Boulia Shire, Queensland, 4829, Australia","Item 131, Item 134A","Near '5-Star Supermarket' (supermarket); straight-line 246.64 km, est. route 320.64 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- '5-Star Supermarket' (supermarket) is 246.64 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,246.64,Mount Isa Pharmacy First,5-Star Supermarket,supermarket,Pharmacy must NOT be directly accessible from supermarket,QLD,2026-02-14T21:39:46.477773
-27.9942588,143.822848,"Fergie's Roadhouse and General Store, Frew Street, Thargomindah, Bulloo Shire, Queensland, Australia","Item 131, Item 134A","Near 'Fergie's Roadhouse and General Store' (supermarket); straight-line 159.76 km, est. route 207.69 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Fergie's Roadhouse and General Store' (supermarket) is 159.76 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,159.76,Quilpie Pharmacy,Fergie's Roadhouse and General Store,supermarket,Pharmacy must NOT be directly accessible from supermarket,QLD,2026-02-14T21:39:46.478773
-24.2587959,144.4418647,"Andos Food Barn, Saint Mary Street, Isisford, Longreach Regional, Queensland, Australia","Item 131, Item 134A","Near 'Andos Food Barn' (supermarket); straight-line 92.92 km, est. route 120.80 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Andos Food Barn' (supermarket) is 92.92 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,92.92,Guardian,Andos Food Barn,supermarket,Pharmacy must NOT be directly accessible from supermarket,QLD,2026-02-14T21:39:46.479774
-18.290604,143.5493405,"Georgetown LPO, St. George Street, Georgetown, Etheridge Shire, Queensland, Australia","Item 131, Item 134A","Near 'Georgetown LPO' (supermarket); straight-line 208.54 km, est. route 271.10 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Georgetown LPO' (supermarket) is 208.54 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,208.54,Dimbulah Chemist,Georgetown LPO,supermarket,Pharmacy must NOT be directly accessible from supermarket,QLD,2026-02-14T21:39:46.480773
-13.9443174,143.2002726,"Armbrust's General Store, Regent Street, Coen, Cook Shire, Queensland, Australia","Item 131, Item 134A","Near 'Armbrust's General Store' (supermarket); straight-line 204.88 km, est. route 266.34 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Armbrust's General Store' (supermarket) is 204.88 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,204.88,Cape York Guardian Pharmacy,Armbrust's General Store,supermarket,Pharmacy must NOT be directly accessible from supermarket,QLD,2026-02-14T21:39:46.482795
